PETSc, serial, CONVERGED, 0.000000, 9000, 6, 1, 0.704836, -snes_mf | -pc_type | none | -snes_max_it | 10000 | -snes_type | newtontr | -m | 9000 |
PETSc, parallel, CONVERGED, 0.277868, 9000, 6, 2, 3.213534,  -snes_mf | -pc_type | none | -snes_max_it | 10000 | -snes_type | newtonls | -m | 9000 |
PETSc, parallel, CONVERGED, 17.618317, 9000, 5, 2, 0.657093,  -snes_mf | -pc_type | none | -snes_max_it | 10000 | -snes_type | newtontr | -m | 9000 |
PETSc, serial, CONVERGED, 10.000000, 10000, 5, 1, 0.227559, -snes_mf | -pc_type | none | -snes_max_it | 10000 | -snes_type | newtonls | -m | 10000 |
PETSc, serial, CONVERGED, 0.000000, 10000, 7, 1, 0.770684, -snes_mf | -pc_type | none | -snes_max_it | 10000 | -snes_type | newtontr | -m | 10000 |
PETSc, parallel, CONVERGED, 9.101160, 10000, 5, 2, 0.208620,  -snes_mf | -pc_type | none | -snes_max_it | 10000 | -snes_type | newtonls | -m | 10000 |
PETSc, parallel, CONVERGED, 11.920113, 10000, 5, 2, 0.260927,  -snes_mf | -pc_type | none | -snes_max_it | 10000 | -snes_type | newtontr | -m | 10000 |
PETSc, serial, CONVERGED, 0.000000, 100, 5, 1, 0.021893, -snes_mf | -pc_type | none | -snes_max_it | 10000 | -snes_type | newtonls | -m | 100 |
PETSc, serial, CONVERGED, 0.000000, 100, 4, 1, 0.018453, -snes_mf | -pc_type | none | -snes_max_it | 10000 | -snes_type | newtontr | -m | 100 |
PETSc, parallel, CONVERGED, 0.001060, 100, 5, 2, 0.107367,  -snes_mf | -pc_type | none | -snes_max_it | 10000 | -snes_type | newtonls | -m | 100 |
PETSc, parallel, CONVERGED, 0.001662, 100, 5, 2, 0.135575,  -snes_mf | -pc_type | none | -snes_max_it | 10000 | -snes_type | newtontr | -m | 100 |
PETSc, serial, CONVERGED, 0.000000, 1000, 5, 1, 0.083335, -snes_mf | -pc_type | none | -snes_max_it | 10000 | -snes_type | newtonls | -m | 1000 |
PETSc, serial, CONVERGED, 0.000000, 1000, 5, 1, 0.095377, -snes_mf | -pc_type | none | -snes_max_it | 10000 | -snes_type | newtontr | -m | 1000 |
PETSc, parallel, CONVERGED, 0.184624, 1000, 5, 2, 0.218460,  -snes_mf | -pc_type | none | -snes_max_it | 10000 | -snes_type | newtonls | -m | 1000 |
PETSc, parallel, CONVERGED, 0.044301, 1000, 5, 2, 0.301808,  -snes_mf | -pc_type | none | -snes_max_it | 10000 | -snes_type | newtontr | -m | 1000 |
PETSc, serial, CONVERGED, 0.000000, 2000, 6, 1, 0.201845, -snes_mf | -pc_type | none | -snes_max_it | 10000 | -snes_type | newtonls | -m | 2000 |
PETSc, serial, CONVERGED, 0.000000, 2000, 6, 1, 0.274480, -snes_mf | -pc_type | none | -snes_max_it | 10000 | -snes_type | newtontr | -m | 2000 |
PETSc, parallel, CONVERGED, 0.000901, 2000, 6, 2, 0.971468,  -snes_mf | -pc_type | none | -snes_max_it | 10000 | -snes_type | newtonls | -m | 2000 |
PETSc, parallel, CONVERGED, 0.425055, 2000, 5, 2, 0.334000,  -snes_mf | -pc_type | none | -snes_max_it | 10000 | -snes_type | newtontr | -m | 2000 |
PETSc, serial, CONVERGED, 0.000000, 3000, 7, 1, 0.436528, -snes_mf | -pc_type | none | -snes_max_it | 10000 | -snes_type | newtonls | -m | 3000 |
PETSc, serial, CONVERGED, 0.000000, 3000, 6, 1, 0.492359, -snes_mf | -pc_type | none | -snes_max_it | 10000 | -snes_type | newtontr | -m | 3000 |
PETSc, parallel, CONVERGED, 0.004617, 3000, 7, 2, 12.777794,  -snes_mf | -pc_type | none | -snes_max_it | 10000 | -snes_type | newtonls | -m | 3000 |
PETSc, parallel, CONVERGED, 0.005924, 3000, 6, 2, 9.314104,  -snes_mf | -pc_type | none | -snes_max_it | 10000 | -snes_type | newtontr | -m | 3000 |
PETSc, serial, CONVERGED, 0.000000, 4000, 6, 1, 0.461104, -snes_mf | -pc_type | none | -snes_max_it | 10000 | -snes_type | newtonls | -m | 4000 |
PETSc, serial, CONVERGED, 0.000000, 4000, 6, 1, 0.460799, -snes_mf | -pc_type | none | -snes_max_it | 10000 | -snes_type | newtontr | -m | 4000 |
PETSc, parallel, CONVERGED, 0.005947, 4000, 7, 2, 7.335730,  -snes_mf | -pc_type | none | -snes_max_it | 10000 | -snes_type | newtonls | -m | 4000 |
PETSc, parallel, CONVERGED, 4.437150, 4000, 5, 2, 0.866571,  -snes_mf | -pc_type | none | -snes_max_it | 10000 | -snes_type | newtontr | -m | 4000 |
PETSc, serial, CONVERGED, 6.000000, 5000, 5, 1, 0.196025, -snes_mf | -pc_type | none | -snes_max_it | 10000 | -snes_type | newtonls | -m | 5000 |
PETSc, serial, CONVERGED, 0.000000, 5000, 7, 1, 0.518526, -snes_mf | -pc_type | none | -snes_max_it | 10000 | -snes_type | newtontr | -m | 5000 |
PETSc, parallel, CONVERGED, 0.027287, 5000, 6, 2, 1.237196,  -snes_mf | -pc_type | none | -snes_max_it | 10000 | -snes_type | newtonls | -m | 5000 |
PETSc, parallel, CONVERGED, 2.047756, 5000, 5, 2, 0.295821,  -snes_mf | -pc_type | none | -snes_max_it | 10000 | -snes_type | newtontr | -m | 5000 |
PETSc, serial, CONVERGED, 0.000000, 6000, 6, 1, 0.463025, -snes_mf | -pc_type | none | -snes_max_it | 10000 | -snes_type | newtonls | -m | 6000 |
PETSc, serial, CONVERGED, 0.000000, 6000, 6, 1, 0.439927, -snes_mf | -pc_type | none | -snes_max_it | 10000 | -snes_type | newtontr | -m | 6000 |
PETSc, parallel, CONVERGED, 0.010368, 6000, 7, 2, 6.341828,  -snes_mf | -pc_type | none | -snes_max_it | 10000 | -snes_type | newtonls | -m | 6000 |
PETSc, parallel, CONVERGED, 1.136180, 6000, 6, 2, 2.876833,  -snes_mf | -pc_type | none | -snes_max_it | 10000 | -snes_type | newtontr | -m | 6000 |
PETSc, serial, CONVERGED, 0.000000, 7000, 6, 1, 0.228359, -snes_mf | -pc_type | none | -snes_max_it | 10000 | -snes_type | newtonls | -m | 7000 |
